Repository,Forks,Total Issues,Closed Issues,Open PRs,Closed PRs,Merged PRs,Total Commits,Max Days Without Commit,Most Active Dev Commits,Contributors,Owner Projects,Owner Commits,Archived
jeromegn/Backbone.localStorage,681,232,222,0,127,78,294,1304,133,58,0,133,FSE
rubysherpas/forem,424,700,652,11,301,192,1492,203,828,86,0,0,FSE
p-e-w/finalterm,179,417,294,13,72,47,192,197,124,20,0,124,FSE
jhollingworth/bootstrap-wysihtml5,1010,397,201,31,125,81,260,360,140,52,0,139,FSE
h5bp/mobile-boilerplate,648,248,245,0,120,69,469,120,169,47,0,0,FSE
square/cube,419,55,39,16,39,13,169,274,125,8,0,0,FSE
kenkeiter/skeuocard,231,163,119,10,30,13,174,276,148,7,0,149,FSE
nothingmagical/cheddar-ios,633,33,33,0,33,21,148,77,111,14,0,111,FSE
tumblr/TMCache,376,90,72,5,27,16,243,180,180,10,0,0,FSE
ryanb/nifty-generators,283,168,104,11,21,11,285,3343,260,12,0,250,FSE
Valve/fingerprintjs,0,0,0,0,0,0,4,0,4,1,0,4,FSE
node-js-libs/node.io,140,165,165,0,27,18,436,331,410,13,0,0,FSE
karmi/retire,533,993,897,35,288,2,936,158,723,92,0,728,FSE
overshare/overshare-kit,132,98,82,6,35,23,231,242,191,12,0,0,FSE
MacRuby/MacRuby,193,68,66,2,66,29,6103,547,2889,26,0,0,FSE
maccman/juggernaut,188,138,100,3,21,9,122,106,82,8,0,109,FSE
square/dagger,3058,560,497,4,289,245,703,1070,230,35,0,0,FSE
square/otto,848,205,187,5,85,58,205,594,138,22,0,0,FSE
roboguice/roboguice,824,351,204,11,61,40,1054,526,610,17,0,0,FSE
karpathy/neuraltalk,1322,55,25,4,13,9,33,86,10,6,0,20,FSE
turbolinks/turbolinks-classic,428,680,635,5,291,170,707,339,151,84,0,0,FSE
google/gxui,299,181,135,1,61,44,196,58,139,18,0,0,FSE
KeyboardFire/mkcast,46,33,22,3,12,9,42,281,32,6,0,32,FSE
mozilla-services/heka,531,1994,1761,14,1036,871,4118,2725,1547,106,1,0,FSE
twitter-archive/kestrel,313,152,128,0,45,26,1146,539,827,21,0,0,FSE
itsabot/abot,130,180,172,0,103,88,705,54,662,12,0,0,FSE
smileyborg/UIView-AutoLayout,199,22,21,0,5,1,156,54,148,2,0,148,FSE
RomainPiel/Shimmer-android,438,31,18,0,9,4,39,545,33,4,0,33,FSE
Quinny898/PersistentSearch,425,26,26,0,26,11,57,235,22,11,0,37,FSE
shu223/PulsingHalo,240,50,37,0,13,9,97,465,80,9,0,77,FSE
popcorn-time/popcorn-app,1696,317,278,39,278,152,2,0,2,1,0,0,FSE
jonikorpi/Golden-Grid-System,277,22,11,5,6,6,74,590,59,7,0,66,FSE
tensorflow/tensorflow,74187,75505,70680,3165,32578,23455,169877,707,42995,404,7,0,FSE
facebook/react,46431,29188,28371,164,15905,10821,19470,610,1742,414,0,0,Active
facebook/react-native,24250,44744,43867,304,18386,853,33151,66,1299,314,0,0,Active
electron/electron,15312,43001,42057,87,22869,20346,28578,171,8544,382,0,0,Active
nodejs/node,29078,52888,50798,531,34190,8838,42419,1351,3129,437,1,0,Active
atom/atom,17397,22393,21399,31,5249,3937,38533,1282,9239,326,0,0,Active
mrdoob/three.js,35309,29254,28723,136,16590,13016,44123,542,18081,362,0,18372,Active
hakimel/reveal.js,16629,3476,2645,95,980,402,3143,369,2303,307,0,2393,Active
reactjs/redux,15271,4598,4561,1,2548,1691,4042,211,1057,420,0,0,Active
axios/axios,10831,6356,5563,155,1523,874,1573,165,216,425,0,0,Active
rg3/youtube-dl,9962,31540,27340,492,4448,1636,18861,1417,6359,387,0,0,Active
nvbn/thefuck,3426,1433,1080,89,609,482,1651,508,509,168,0,930,Active
ionic-team/ionic,13514,29586,29127,23,7792,5903,13966,132,2477,398,1,0,Active
getlantern/lantern,11299,719,717,2,717,552,6273,364,1416,60,0,0,Active
impress/impress.js,6672,861,793,14,368,121,420,465,200,83,0,0,Active
x64dbg/x64dbg,2406,3337,2739,4,852,692,5471,441,1316,126,0,0,Active
Microsoft/TypeScript,12406,59011,53261,450,17651,14358,36283,522,3861,345,8,0,Active
Dogfalo/materialize,4738,6665,5871,171,1272,449,3878,643,1462,244,0,1582,Active
ReactiveX/RxJava,7604,7092,7081,0,3933,3251,6161,122,2019,288,0,0,Active
bitcoin/bitcoin,36206,29512,28847,295,21055,14516,42682,2415,6905,347,0,0,Active
babel/babel,5639,16084,15300,152,7080,5910,16619,594,5901,418,0,0,Active
neovim/neovim,5603,30058,28280,333,18022,13635,30709,1494,4360,443,0,0,Active
ecomfe/echarts,19606,20284,18103,109,1744,1318,9387,160,1461,233,11,0,Active
ant-design/ant-design,49076,48368,47153,64,18114,14301,28556,359,8789,377,0,0,Active
TryGhost/Ghost,10220,21041,20881,126,14005,11430,39417,402,4889,374,0,0,Active
google/protobuf,15452,18316,17976,111,11926,6031,18679,1424,2842,372,0,0,Active
gohugoio/hugo,7471,12682,12218,30,5301,2573,8577,643,3916,419,0,0,Active
gogits/gogs,4851,7401,6460,43,2262,1699,6022,99,2404,413,0,0,Active
google/guava,10865,5997,5278,77,2343,654,6603,290,1156,313,0,0,Active
serverless/serverless,5694,11946,10699,103,5515,4681,16090,519,2975,356,0,0,Active
select2/select2,6265,6334,6198,35,1487,713,2660,525,860,400,0,0,Active
fchollet/keras,19416,19584,19337,16,7445,3632,11005,224,2733,408,0,0,Active
storybooks/storybook,9245,25610,23564,141,12676,10262,63066,266,14238,371,0,0,Active
JetBrains/kotlin,5717,5323,5144,179,5144,2059,117818,1701,6551,284,0,0,Active
hexojs/hexo,4831,5214,5123,13,1257,912,3666,764,1987,173,1,0,Active
PhilJay/MPAndroidChart,9011,5450,3267,129,380,190,2070,234,1365,64,0,1504,Active
fastlane/fastlane,5684,20455,19722,193,7293,6193,16621,133,7629,383,0,0,Active
grafana/grafana,12006,91144,86997,272,53542,46521,53983,298,10055,379,1,0,Active
bumptech/glide,6116,5392,4845,20,934,540,2957,244,2074,131,0,0,Active
videojs/video.js,7431,8468,7940,22,3164,1772,4140,124,1133,373,0,0,Active
photonstorm/phaser,7087,6743,6699,7,2364,1679,19820,962,11876,378,0,0,Active
syncthing/syncthing,4242,9675,9288,31,4160,2555,7526,118,4232,314,0,0,Active
rs/SDWebImage,5959,3691,3597,6,1357,933,3641,405,1849,252,0,0,Active
emberjs/ember.js,4208,17084,16726,72,10293,8114,22644,1277,5553,340,1,0,Active
ReactiveCocoa/ReactiveCocoa,3470,3730,3721,5,1718,1350,8662,329,2495,204,0,0,Active
pixijs/pixi.js,4761,10013,9632,41,4286,3443,8252,116,2116,381,0,0,Active
soimort/you-get,9413,1068,954,114,954,580,2582,660,1656,227,1,1656,Active
postcss/postcss,1556,1882,1863,0,907,734,4096,87,2903,374,0,0,Active
quilljs/quill,3363,4352,3949,47,707,376,5738,1136,4657,142,0,0,Active
symfony/symfony,9428,53790,52960,307,33182,22763,71920,1291,26092,365,1,0,Active
RocketChat/Rocket.Chat,10377,32586,29473,601,16039,12688,26157,175,4310,374,11,0,Active
SwiftyJSON/SwiftyJSON,3420,1136,997,24,401,221,752,442,127,132,0,0,Active
angular/angular-cli,11978,28066,27784,16,12630,10361,15500,976,3185,414,0,0,Active
getsentry/sentry,4146,77134,74300,151,63475,57080,74343,1066,11413,340,3,0,Active
facebook/flow,1853,9083,8071,32,2381,160,18313,21,3024,340,0,0,Active
npm/npm,3018,20799,18634,0,2137,439,8342,966,4384,424,0,0,Active
ethereum/go-ethereum,20015,18884,18567,97,10687,7500,15447,338,2961,432,1,0,Active
